comparison,scenario,seed,left_method,right_method,left_checkpoint,right_checkpoint,model_state_dict_identical,trajectory_rmse_exactly_identical,trajectory_rmse_max_abs_diff_m,independent_repeated_seed_corollary
RGR-GF vs RGR-noMP,test,41,RGR-GF,RGR-noMP,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt,results\seed_suite_matched_nograph_rgr\seed_41\best_matched_nograph_rgr.pt,False,False,438.61988926746335,True
RGR-GF vs RGR-noMP,test,42,RGR-GF,RGR-noMP,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt,results\seed_suite_matched_nograph_rgr\seed_42\best_matched_nograph_rgr.pt,False,False,1471.9912185041157,True
RGR-GF vs RGR-noMP,test,43,RGR-GF,RGR-noMP,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt,results\seed_suite_matched_nograph_rgr\seed_43\best_matched_nograph_rgr.pt,False,False,1239.4614983380975,True
RGR-GF vs RGR-local,test,41,RGR-GF,RGR-local,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_41\best_capacity_matched_nograph_rgr.pt,False,False,1142.5840522588342,True
RGR-GF vs RGR-local,test,42,RGR-GF,RGR-local,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_42\best_capacity_matched_nograph_rgr.pt,False,False,2544.7618436957146,True
RGR-GF vs RGR-local,test,43,RGR-GF,RGR-local,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_43\best_capacity_matched_nograph_rgr.pt,False,False,408.9182366547566,True
RGR-noMP vs RGR-local,test,41,RGR-noMP,RGR-local,results\seed_suite_matched_nograph_rgr\seed_41\best_matched_nograph_rgr.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_41\best_capacity_matched_nograph_rgr.pt,False,False,703.9641629913708,True
RGR-noMP vs RGR-local,test,42,RGR-noMP,RGR-local,results\seed_suite_matched_nograph_rgr\seed_42\best_matched_nograph_rgr.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_42\best_capacity_matched_nograph_rgr.pt,False,False,4016.7530621998303,True
RGR-noMP vs RGR-local,test,43,RGR-noMP,RGR-local,results\seed_suite_matched_nograph_rgr\seed_43\best_matched_nograph_rgr.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_43\best_capacity_matched_nograph_rgr.pt,False,False,830.5432616833409,True
RGR-GF vs RGR-noMP,stress_test,41,RGR-GF,RGR-noMP,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt,results\seed_suite_matched_nograph_rgr\seed_41\best_matched_nograph_rgr.pt,False,False,3154.715499716473,True
RGR-GF vs RGR-noMP,stress_test,42,RGR-GF,RGR-noMP,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt,results\seed_suite_matched_nograph_rgr\seed_42\best_matched_nograph_rgr.pt,False,False,1965.7769857004496,True
RGR-GF vs RGR-noMP,stress_test,43,RGR-GF,RGR-noMP,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt,results\seed_suite_matched_nograph_rgr\seed_43\best_matched_nograph_rgr.pt,False,False,5397.208888786057,True
RGR-GF vs RGR-local,stress_test,41,RGR-GF,RGR-local,results\seed_suite_hybrid_public\seed_41\best_hybrid.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_41\best_capacity_matched_nograph_rgr.pt,False,False,2372.199207914403,True
RGR-GF vs RGR-local,stress_test,42,RGR-GF,RGR-local,results\seed_suite_hybrid_public\seed_42\best_hybrid.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_42\best_capacity_matched_nograph_rgr.pt,False,False,13344.265840878616,True
RGR-GF vs RGR-local,stress_test,43,RGR-GF,RGR-local,results\seed_suite_hybrid_public\seed_43\best_hybrid.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_43\best_capacity_matched_nograph_rgr.pt,False,False,2119.9847843842326,True
RGR-noMP vs RGR-local,stress_test,41,RGR-noMP,RGR-local,results\seed_suite_matched_nograph_rgr\seed_41\best_matched_nograph_rgr.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_41\best_capacity_matched_nograph_rgr.pt,False,False,1771.8108005051395,True
RGR-noMP vs RGR-local,stress_test,42,RGR-noMP,RGR-local,results\seed_suite_matched_nograph_rgr\seed_42\best_matched_nograph_rgr.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_42\best_capacity_matched_nograph_rgr.pt,False,False,14444.555246004336,True
RGR-noMP vs RGR-local,stress_test,43,RGR-noMP,RGR-local,results\seed_suite_matched_nograph_rgr\seed_43\best_matched_nograph_rgr.pt,results\seed_suite_capacity_matched_nograph_rgr\seed_43\best_capacity_matched_nograph_rgr.pt,False,False,3277.2241044018247,True
