trajectory_index,EKF_observed_pos_rmse_m,UKF_observed_pos_rmse_m,AUKF_observed_pos_rmse_m,PUKF_observed_pos_rmse_m
0,228.16112878269607,227.41312497528747,201.29069419264286,252.21523122176023
1,198.39930029637546,183.88733099069142,180.82929984213342,250.2704127810288
2,238.96605885469717,247.96234759984102,213.13487569666705,285.79797877406605
3,119.35069953829687,11211.597577491742,2110.3922236622066,4957.095131696176
4,328.78110402141743,327.12655185003075,322.9021320110294,378.1349610958877
5,354.2320486872067,349.50525047638666,335.3560030190569,391.3662803099392
6,,,,
7,307.141154566684,286.0718281817752,291.4557092187245,302.09023853696715
8,,,,
9,588.2582821025713,650.7855612253043,657.312654374317,649.7699462754705
10,454.5069974228136,897.6713431768345,326.5842882760377,1243.7732526552315
11,,,,
12,210.01780174245377,206.8154687179209,186.51522020310733,236.65996733174833
13,,,,
14,324.054912811585,319.46577435364986,307.5731453273742,343.43194499822073
15,206.10321852665302,185.46255272492294,196.93823536807483,253.79313616351567
16,238.25934711313812,244.14029649518912,256.070354691638,258.60420665022707
17,132.44856348317788,130.13759240974275,133.69539687910856,230.07859823034465
18,278.68416795921723,278.64370160610827,300.8634889500175,305.960345895086
19,327.1852109800059,311.85365732937754,266.240047253629,357.06779600211286
20,409.0984344047772,134.1282072767783,494.69142174483153,246.78259889330437
21,,,,
22,,,,
23,,,,
24,682.8273851658435,679.3275860884368,557.2158974742279,705.0285257551612
25,145.58418357475207,361.94502762660346,140.73885861826707,416.4612437499999
26,,,,
27,,,,
28,170.79302075263368,164.528255735575,161.85722822646576,228.4241838791582
29,498.02871828992767,487.5870693474887,617.5491659345804,468.9114102075015
30,319.2524243532259,318.5051483534383,376.0553398850079,315.4381671811013
31,229.737224578976,220.86856424929297,194.6565453481728,262.66897253037706
32,291.21129691553745,265.4419849658868,252.0178779404723,265.8168276307693
33,640.2413015407467,640.1006083014594,652.8471516099069,660.9426310653465
34,222.62802090074578,224.34418133168677,211.25862998301207,269.1334053176747
35,460.7057843415099,446.63724060908993,439.25252927488276,535.9895660310958
36,503.7555134658679,476.6217452997113,462.56851351614006,491.1185085535282
37,282.82525570201125,332.73811009117685,318.0385493392133,437.98814778388186
38,545.172498798822,544.1177696282031,653.8815777477154,558.8545547551702
39,374.6987699455122,374.52930874055824,476.69395113703837,388.4612531139079
40,313.8070656092948,296.6471827657528,318.581552417673,427.46586947387334
41,,,,
42,3728.1530085796767,524.0927745911582,600.6747370370737,514.6111783265325
43,271.5573606665398,276.51342425256394,268.21149160145075,280.5485333130514
44,243.86766431138997,234.2139559374004,227.2139929225927,323.41009776589107
45,256.3308129261534,255.65813392846036,231.36905708286386,270.3450978588815
46,269.046168678651,268.2866177955316,299.6402676281881,275.83163803580584
47,600.5077434011256,702.3462426826717,701.6057711115404,705.8103725776489
