cell,cell_index,scenario,scenario_index,realization_index,data_seed,initialization_seed,filter_seed,trajectories,time_steps,dt_s,eval_start_step,epoch_unix,observed_step_count,zero_visible_step_count,visible_update_count,ekf_pos_rmse_m,ukf_pos_rmse_m,aukf_pos_rmse_m,best_nonadaptive_method,best_nonadaptive_pos_rmse_m,aukf_minus_ukf_m,aukf_vs_ukf_percent,aukf_minus_best_nonadaptive_m,aukf_vs_best_nonadaptive_percent,median_pre_update_r_only_nis_ukf,median_pre_update_r_only_nis_aukf,rho_pre_update_r_only_nis_aukf_vs_ukf,ukf_pre_update_r_only_nis_finite_count,aukf_pre_update_r_only_nis_finite_count,ukf_pre_update_r_only_nis_nonfinite_count,aukf_pre_update_r_only_nis_nonfinite_count,aukf_worse_than_ukf,aukf_worse_than_best_nonadaptive,finite_for_thresholds,divergent,exclusion_reason,truth_generation_seconds,filter_seconds
hifi_base,0,hifi_base,0,0,2026061602,2026061619,2026061639,12,120,20.0,11,1736640000.0,296,1012,306,402.27949343710486,461.2702363877927,384.03853731608996,EKF,402.27949343710486,-77.23169907170274,-16.743265222682517,-18.240956121014904,-4.534398700058724,5.553673892158507,5.429354237320954,0.9776148803023732,306,306,0,0,false,false,true,false,,55.23974710001494,39.43023570001242
hifi_base,0,hifi_base,0,1,2026061703,2026061720,2026061740,12,120,20.0,11,1736640000.0,289,1019,294,316.43875696127424,310.47414861614635,330.1142901297796,UKF,310.47414861614635,19.64014151363324,6.325854052961834,19.64014151363324,6.325854052961834,4.9220991268864545,5.004208152625058,1.016681709088322,294,294,0,0,true,true,true,false,,2.3165571999852546,38.00510280000162
hifi_base,0,hifi_base,0,2,2026061804,2026061821,2026061841,12,120,20.0,11,1736640000.0,351,957,377,229.9418912575246,672.4087720619473,933.0653581201766,EKF,229.9418912575246,260.6565860582293,38.76460226105077,703.123466862652,305.78311025335756,5.497301152608453,5.599799929200637,1.018645290433752,377,377,0,0,true,true,true,false,,2.265212500002235,36.324597099999664
hifi_base,0,hifi_base,0,3,2026061905,2026061922,2026061942,12,120,20.0,11,1736640000.0,251,1057,251,265.95025884902293,291.59450609061804,288.33748963290765,EKF,265.95025884902293,-3.2570164577103924,-1.1169677033277912,22.387230783884718,8.417826281039156,5.78744478874752,5.530645768074406,0.9556282556384111,251,251,0,0,false,true,true,false,,2.0941321999998763,36.5291375000088
hifi_base,0,hifi_base,0,4,2026062006,2026062023,2026062043,12,120,20.0,11,1736640000.0,336,972,341,304.40447877035365,301.7118218525808,293.04602166594117,UKF,301.7118218525808,-8.665800186639615,-2.8722110169331736,-8.665800186639615,-2.8722110169331736,5.469492423682074,5.346446278144167,0.9775031874977765,341,341,0,0,false,false,true,false,,1.9694361999863759,36.81104119998054
hifi_base,0,hifi_base,0,5,2026062107,2026062124,2026062144,12,120,20.0,11,1736640000.0,195,1113,195,381.63325997488425,453.47214538909486,380.35371151754964,EKF,381.63325997488425,-73.11843387154522,-16.124129037475292,-1.279548457334613,-0.3352822176502178,7.346879780075925,7.249453097965202,0.986739039561402,195,195,0,0,false,false,true,false,,2.1173948999785352,36.7717444000009
hifi_base,0,hifi_base,0,6,2026062208,2026062225,2026062245,12,120,20.0,11,1736640000.0,256,1052,270,277.6360504393911,372.22405811051186,279.2333621690053,EKF,277.6360504393911,-92.99069594150654,-24.982451809683397,1.597311729614205,0.575325764462603,5.411375558228441,5.418215415681104,1.0012639775929546,270,270,0,0,false,true,true,false,,2.1685553999850526,36.13208889999078
hifi_base,0,hifi_base,0,7,2026062309,2026062326,2026062346,12,120,20.0,11,1736640000.0,237,1071,237,403.47881980368516,397.3061452126677,408.0779226762615,UKF,397.3061452126677,10.771777463593821,2.711203336114514,10.771777463593821,2.711203336114514,5.9100967298186085,5.942677628654272,1.0055127522145757,237,237,0,0,true,true,true,false,,2.146153999987291,35.722279499983415
hifi_extended,1,hifi_extended,1,0,2026161602,2026161619,2026161639,12,120,20.0,11,1736640000.0,337,971,350,388.3288575274054,409.70880660649937,375.5490647644677,EKF,388.3288575274054,-34.15974184203168,-8.3375659227262,-12.779792762937689,-3.290971689384631,5.92663814443601,5.751201103736234,0.9703985570867898,350,350,0,0,false,false,true,false,,2.0942328000091948,37.00217839999823
hifi_extended,1,hifi_extended,1,1,2026161703,2026161720,2026161740,12,120,20.0,11,1736640000.0,323,985,329,377.39101887624514,435.8472580009357,403.2076785653588,EKF,377.39101887624514,-32.639579435576934,-7.488765579318354,25.816659689113635,6.840825138337352,6.513508751649867,6.238029133164076,0.9577064176944552,329,329,0,0,false,true,true,false,,2.0862350999959745,39.790471999993315
hifi_extended,1,hifi_extended,1,2,2026161804,2026161821,2026161841,12,120,20.0,11,1736640000.0,286,1022,291,383.9359793377546,383.82479342931475,380.012196948248,UKF,383.82479342931475,-3.8125964810667483,-0.9933168847699456,-3.8125964810667483,-0.9933168847699456,5.341877813723167,5.149655587898826,0.9640159822954903,291,291,0,0,false,false,true,false,,2.4363138000189792,39.41043790002004
hifi_extended,1,hifi_extended,1,3,2026161905,2026161922,2026161942,12,120,20.0,11,1736640000.0,265,1043,265,441.8130743744113,398.63312659333013,423.9122211166342,UKF,398.63312659333013,25.27909452330408,6.3414435070502355,25.27909452330408,6.3414435070502355,4.948009843582629,5.040752234435111,1.018743372342471,265,265,0,0,true,true,true,false,,2.3022556000214536,35.877579799998784
hifi_extended,1,hifi_extended,1,4,2026162006,2026162023,2026162043,12,120,20.0,11,1736640000.0,362,946,362,334.3205741634725,325.26192848722354,327.5703657101978,UKF,325.26192848722354,2.3084372229742485,0.709716391866294,2.3084372229742485,0.709716391866294,5.899894548381965,5.959907756530406,1.0101719119988168,362,362,0,0,true,true,true,false,,2.1453981999948155,35.435664100019494
hifi_extended,1,hifi_extended,1,5,2026162107,2026162124,2026162144,12,120,20.0,11,1736640000.0,228,1080,228,407.3886801021667,440.5422854286106,444.246275094193,EKF,407.3886801021667,3.7039896655823554,0.8407796000737329,36.85759499202629,9.047280101838615,6.15634138451898,6.127210355626035,0.9952681264612455,228,228,0,0,true,true,true,false,,2.2595791000057943,34.650184199999785
hifi_extended,1,hifi_extended,1,6,2026162208,2026162225,2026162245,12,120,20.0,11,1736640000.0,235,1073,236,389.5821484477078,371.78989972346625,382.6983910070022,UKF,371.78989972346625,10.908491283535966,2.9340472378753693,10.908491283535966,2.9340472378753693,5.340956130606822,5.276255855522673,0.9878860126348206,236,236,0,0,true,true,true,false,,2.016808599990327,39.7408472999814
hifi_extended,1,hifi_extended,1,7,2026162309,2026162326,2026162346,12,120,20.0,11,1736640000.0,235,1073,235,294.85024563252705,292.6194590071141,291.5970004234755,UKF,292.6194590071141,-1.0224585836385813,-0.3494157863280458,-1.0224585836385813,-0.3494157863280458,5.640602646916445,5.599591942619034,0.9927293754117158,235,235,0,0,false,false,true,false,,2.4266197999822907,37.028982100018766
